crucifix;christendom
meetlint;meter voor omtrek
officium;politiek-juridische term
showbizz;een industrie
juffrouw;algemeen eerste liefde
golfclub;sport instrument
ijslolly;koude lekkernij
malvezij;drank
playoffs;eindronde
kilobyte;Unit
joystick;bewegings controller
gezwicht;hij is ...
katzwijm;flauwte
lunchbox;eten
jerrycan;container
oxymoron;stijlfiguur
maquette;model
recyclen;hergebruiken
huilbaby;nachtmerrie
hobbykok;thuiskok
jazzclub;culturele plaats
leukocyt;afweersysteem
juryteam;Panel
kerfbijl;werktuig
babymelk;natuurlijk
nachtbus;vervoersdienst
lymfevat;menselijke drainagesysteem
lobbying;uitoefenen van invloed
hectisch;chaos
quoteren;evenredig verdelen
luxaflex;jaloezieën
koplicht;Navigatiedeel van schepen
